id,name
1,Salman Masood
2,Charles Mcdermid
3,Mark Landler
4,Gardiner Harris
5,Karen Zraick
6,Lance Booth
7,Patrick Boehler
8,Mujib Mashal
9,The Editorial Board
10,Richard G. Olson
11,Mehreen Zahra-Malik
12,Mohammed Hanif
13,Donald G. Mcneil Jr.
14,Meher Ahmad
15,Michael Barbaro
16,Robin Pogrebin
17,Ihsanullah Tipu Mehsud
18,Ismail Khan
19,Maria Abi-Habib
20,Saira Khan
21,Raza Wazir
22,Haroon Janjua
23,Maggie Astor
24,Hari Kumar
25,Abbas Nasir
26,Douglas Schorzman
27,Zia Ur-Rehman
28,Shah Meer Baloch
29,Jeffrey Gettleman
30,Russell Goldman
31,Remy Tumin
32,Chris Stanford
33,Daniyal Hassan
34,Eric Schmitt
35,Mosharraf Zaidi
36,Ahmed Rashid
37,Alisha Haridasani Gupta
38,The New York Times
39,Faisal Devji
40,Taimoor Shah
