author_id,story_id
1,1
2,2
3,3
4,3
6,4
5,4
7,5
8,6
1,6
9,7
10,8
1,9
11,10
12,11
13,12
1,13
1,14
1,15
14,16
15,18
16,19
1,20
11,21
1,22
1,23
17,24
18,24
19,25
11,26
1,27
20,28
1,29
11,30
1,31
14,32
12,33
19,34
1,34
1,35
21,36
1,37
1,39
1,40
14,41
22,42
1,43
1,44
23,45
1,46
14,47
19,47
22,48
4,48
22,49
14,50
1,51
14,52
14,53
19,53
1,54
1,55
19,56
1,56
19,57
24,57
25,58
26,59
17,60
27,61
19,61
1,62
1,63
1,64
25,65
18,66
1,66
1,67
1,68
2,69
19,70
28,70
27,70
19,71
1,71
28,72
29,72
12,73
19,74
27,74
29,75
1,75
30,75
2,76
31,77
32,78
2,79
29,80
32,81
29,82
29,83
9,84
29,85
33,85
29,86
32,87
29,88
33,88
34,89
29,90
35,91
19,92
1,92
2,93
36,95
19,96
19,97
1,97
31,98
1,99
14,100
1,101
19,101
37,102
12,103
38,104
1,105
19,106
14,107
1,108
37,109
12,110
14,111
1,111
1,112
37,113
1,114
1,115
14,116
1,116
39,117
19,118
1,119
1,120
40,121
8,121
27,121
